turn,Random,Greedy,EpsilonGreedy,UCB,ThompsonBernoulli
1,0.2886,0.5999999999999998,0.5999999999999998,0.5999999999999998,0.29460000000000003
2,0.579,0.5999999999999998,0.5999999999999998,0.5999999999999998,0.5357999999999999
3,0.8676000000000001,0.8112,0.8238,0.8171999999999999,0.729
4,1.1454000000000002,0.9444000000000001,0.9774,0.8634000000000001,0.894
5,1.4436000000000004,1.0782,1.1292,0.951,1.0302000000000002
6,1.7466000000000004,1.2006,1.2624000000000002,0.9876000000000001,1.1442000000000003
7,2.0496000000000003,1.3308000000000002,1.3968000000000003,1.0482,1.2438000000000002
8,2.3514,1.4532000000000003,1.5204000000000002,1.1580000000000001,1.3386000000000005
9,2.6538000000000004,1.5756000000000003,1.6446000000000003,1.2354,1.4148000000000003
10,2.9490000000000003,1.6950000000000005,1.7604000000000004,1.3080000000000003,1.4862000000000002
11,3.2598000000000003,1.8180000000000003,1.8720000000000003,1.3974000000000002,1.5564
12,3.5496000000000003,1.9392000000000003,1.9722000000000002,1.5942,1.6074000000000004
13,3.8400000000000007,2.0616000000000003,2.0718,1.6872000000000003,1.6632000000000002
14,4.1466,2.181,2.1708000000000003,1.7352000000000003,1.7094
15,4.439400000000002,2.3016000000000005,2.2614,1.8576000000000001,1.7562000000000002
16,4.7376000000000005,2.421,2.3406000000000002,1.9218000000000002,1.7982000000000002
17,5.045400000000001,2.5391999999999997,2.424,1.9830000000000003,1.8324000000000003
18,5.3454,2.6567999999999996,2.505,2.0454,1.866
19,5.6544,2.7744,2.5902,2.1138000000000003,1.8900000000000001
20,5.953800000000001,2.8914,2.676,2.265,1.9182000000000003
21,6.2586,3.0083999999999995,2.7618,2.3616,1.9428
22,6.555599999999999,3.1253999999999995,2.8272,2.4168000000000003,1.9674
23,6.8514,3.2423999999999995,2.898,2.4906,1.9866000000000001
24,7.158,3.3593999999999995,2.9688000000000003,2.5991999999999997,2.0166000000000004
25,7.4544,3.476399999999999,3.0372,2.6622000000000003,2.0346
26,7.748999999999999,3.592199999999999,3.1031999999999997,2.7096000000000005,2.0580000000000003
27,8.044799999999999,3.708599999999999,3.1721999999999997,2.7768,2.0784000000000007
28,8.340599999999998,3.8249999999999993,3.2483999999999997,2.85,2.0952
29,8.630999999999998,3.9413999999999993,3.3257999999999996,2.916,2.1138000000000003
30,8.921399999999998,4.0578,3.3906000000000005,2.9778000000000002,2.1318
31,9.221999999999998,4.174200000000001,3.4506,3.0918,2.1492000000000004
32,9.515399999999998,4.2906,3.516,3.1674,2.1636
33,9.817199999999998,4.407,3.573,3.2568,2.1774
34,10.108199999999997,4.5234000000000005,3.6318,3.3252,2.187
35,10.408799999999998,4.6398,3.6966000000000006,3.3816,2.2014000000000005
36,10.717799999999997,4.756200000000001,3.7518000000000002,3.4368000000000003,2.2116000000000002
37,11.031599999999997,4.872600000000001,3.8106000000000004,3.5166000000000004,2.2278000000000002
38,11.321999999999996,4.989000000000002,3.8664000000000005,3.577200000000001,2.244
39,11.605799999999995,5.105400000000001,3.9246000000000003,3.6156,2.2565999999999997
40,11.909399999999996,5.221800000000002,3.9798000000000004,3.6750000000000003,2.271
41,12.217199999999997,5.338200000000002,4.030800000000001,3.754800000000001,2.2824000000000004
42,12.512399999999996,5.454000000000003,4.086600000000001,3.8058,2.2914
43,12.805199999999997,5.5698000000000025,4.146600000000001,3.8634000000000004,2.2956000000000003
44,13.113599999999995,5.685600000000003,4.189800000000001,3.9762,2.3040000000000003
45,13.407599999999995,5.801400000000004,4.245000000000001,4.02,2.3106
46,13.727399999999994,5.917200000000005,4.303800000000001,4.0680000000000005,2.316
47,14.011799999999996,6.033000000000004,4.347600000000002,4.1202000000000005,2.325
48,14.305799999999996,6.148800000000004,4.3992,4.158600000000001,2.3310000000000004
49,14.599199999999998,6.264600000000004,4.447800000000001,4.192800000000001,2.3406000000000002
50,14.894999999999996,6.380400000000005,4.504200000000001,4.2324,2.3466
51,15.184199999999997,6.496200000000004,4.549800000000001,4.266,2.3586000000000005
52,15.488399999999999,6.612000000000005,4.602000000000001,4.3296,2.3628
53,15.797999999999996,6.727800000000005,4.645800000000001,4.365600000000001,2.3741999999999996
54,16.105199999999996,6.843600000000006,4.690200000000001,4.4106000000000005,2.3868
55,16.408199999999997,6.959400000000005,4.741200000000002,4.4772,2.3928000000000003
56,16.707,7.075200000000006,4.7844000000000015,4.5384,2.403
57,17.004,7.191000000000005,4.828200000000001,4.578600000000001,2.4102
58,17.31,7.306800000000006,4.870800000000001,4.638000000000001,2.4132000000000002
59,17.610599999999998,7.422600000000005,4.913400000000001,4.6896,2.4198000000000004
60,17.9154,7.538400000000007,4.951800000000001,4.735200000000001,2.4264
61,18.217800000000004,7.654200000000007,4.996800000000001,4.7718,2.4341999999999997
62,18.5202,7.770000000000008,5.032800000000001,4.816200000000001,2.4414000000000002
63,18.8214,7.885800000000007,5.077200000000001,4.8564,2.4468
64,19.134000000000004,8.001600000000007,5.112600000000001,4.9026000000000005,2.4564
65,19.417800000000003,8.117400000000007,5.152800000000002,4.929600000000001,2.4642
66,19.709400000000002,8.233200000000007,5.186400000000002,4.962,2.4708
67,20.00400000000001,8.349000000000009,5.222400000000001,4.995,2.4768000000000003
68,20.304600000000004,8.46480000000001,5.263200000000001,5.028,2.4816000000000003
69,20.601000000000006,8.580600000000008,5.306400000000002,5.0676000000000005,2.4912
70,20.914200000000008,8.696400000000011,5.341800000000002,5.1228,2.5031999999999996
71,21.20340000000001,8.81220000000001,5.368200000000002,5.1983999999999995,2.5092
72,21.495600000000007,8.92800000000001,5.407200000000001,5.252400000000001,2.5152
73,21.807600000000008,9.04380000000001,5.440800000000002,5.2776000000000005,2.5188
74,22.11060000000001,9.159600000000012,5.469000000000002,5.307,2.5218000000000003
75,22.41420000000001,9.27540000000001,5.497200000000003,5.3418,2.526
76,22.70580000000001,9.391200000000012,5.521800000000001,5.373600000000001,2.535
77,23.005800000000015,9.507000000000012,5.560200000000003,5.4174,2.5410000000000004
78,23.299800000000012,9.622800000000012,5.589000000000002,5.4618,2.5446000000000004
79,23.607000000000014,9.73860000000001,5.628000000000002,5.5104,2.5518
80,23.90520000000001,9.854400000000012,5.661000000000002,5.5542,2.5572000000000004
81,24.187800000000014,9.97020000000001,5.690400000000001,5.581200000000001,2.5644000000000005
82,24.475800000000017,10.086000000000013,5.729400000000002,5.628,2.5686000000000004
83,24.799800000000015,10.201800000000015,5.760600000000001,5.6688,2.5746
84,25.087200000000017,10.317600000000013,5.805600000000002,5.7174,2.5782000000000003
85,25.385400000000015,10.433400000000015,5.837400000000002,5.7522,2.5836000000000006
86,25.687200000000015,10.549200000000015,5.866200000000003,5.7828,2.5884000000000005
87,25.99200000000002,10.665000000000015,5.901000000000002,5.8224,2.5926000000000005
88,26.29500000000002,10.780800000000013,5.926800000000001,5.8584,2.5968
89,26.599800000000016,10.896600000000017,5.962800000000003,5.897399999999999,2.6016000000000004
90,26.88960000000002,11.012400000000016,5.998800000000002,5.937600000000001,2.6052
91,27.201000000000022,11.128200000000016,6.023400000000001,5.9724,2.6088
92,27.485400000000023,11.244000000000014,6.052800000000001,6.012,2.6112
93,27.78360000000002,11.359800000000018,6.0870000000000015,6.048,2.619
94,28.100400000000022,11.475600000000016,6.123000000000002,6.0792,2.6232
95,28.405200000000026,11.591400000000016,6.160800000000001,6.118799999999999,2.6274
96,28.702200000000026,11.707200000000018,6.193800000000002,6.1482,2.631
97,29.01360000000003,11.823000000000016,6.223800000000002,6.1728,2.6358
