episode,A2C,DQN,PPO,QNN
1,24.5,19.0,17.0,41.9
2,22.9,21.5,21.3,31.75
3,22.833333333333336,20.5,22.6,28.8
4,23.5,22.525,22.7,27.35
5,25.36,22.919999999999998,22.06,26.9
6,25.45,22.866666666666667,21.266666666666666,27.53333333333333
7,24.2,22.857142857142854,20.757142857142856,26.485714285714284
8,24.5125,23.4875,20.5875,25.325
9,24.91111111111111,23.433333333333334,20.3,24.833333333333336
10,25.57,24.34,20.61,24.470000000000002
11,26.127272727272725,24.918181818181818,21.027272727272727,24.59090909090909
12,26.84166666666666,24.575,21.0,24.108333333333334
13,26.53076923076923,24.47692307692308,21.20769230769231,23.769230769230766
14,27.164285714285718,24.414285714285715,21.49285714285714,23.614285714285714
15,28.0,24.666666666666664,21.3,23.35333333333333
16,27.7375,24.35,21.3875,23.51875
17,28.14117647058824,24.305882352941175,21.364705882352943,23.147058823529413
18,28.21666666666667,24.5,21.72222222222222,23.038888888888888
19,28.373684210526317,24.11578947368421,21.91578947368421,22.91578947368421
20,28.7,23.86,21.955,22.645
21,29.110000000000003,23.785,22.015,21.580000000000002
22,30.5,23.65,21.6,22.215
23,30.79,23.685,21.544999999999998,22.115000000000002
24,32.25,23.48,21.509999999999998,22.325
25,32.295,23.46,21.53,22.28
26,32.55,23.509999999999998,21.575,22.169999999999998
27,33.644999999999996,23.715,21.830000000000002,22.705
28,34.36,23.18,21.830000000000002,23.395
29,36.005,23.16,22.03,23.44
30,36.614999999999995,22.82,21.79,23.835
31,37.37,22.325,21.535,23.91
32,38.495,22.235,21.61,24.505
33,38.94,21.865,21.285,25.635
34,39.464999999999996,21.740000000000002,21.34,26.380000000000003
35,39.635000000000005,21.6,21.615000000000002,26.939999999999998
36,41.665,21.6,21.759999999999998,26.855
37,41.565,21.259999999999998,21.805,27.635
38,42.415,21.18,21.369999999999997,27.670000000000005
39,43.15,21.31,21.66,27.75
40,44.295,21.685,21.55,27.895
41,45.230000000000004,21.78,21.54,27.915
42,45.495,21.615000000000002,21.925,27.445
43,46.87,22.335,21.595,27.95
44,47.04,22.125,21.815,27.72
45,49.055,22.085,22.130000000000003,27.54
46,49.96,21.855,22.259999999999998,27.285000000000004
47,50.88,21.755000000000003,22.275,27.02
48,51.964999999999996,21.955000000000002,22.43,26.7
49,51.910000000000004,22.03,22.695,26.875
50,51.885000000000005,21.9,22.9,27.505000000000003
51,52.73,21.9,23.015,27.71
52,52.02,22.145,23.02,27.615
53,53.36,22.45,23.105,26.595
54,54.239999999999995,22.259999999999998,23.005000000000003,25.744999999999997
55,55.254999999999995,21.884999999999998,22.845,25.585
56,55.915,22.43,22.465,26.03
57,57.285000000000004,23.035,22.23,26.214999999999996
58,58.485,22.835,22.29,26.365
59,60.279999999999994,22.965,21.805,26.669999999999998
60,60.94500000000001,22.86,21.775,26.494999999999997
61,61.855,23.255000000000003,22.240000000000002,26.595
62,62.220000000000006,23.355,22.25,27.055
63,61.910000000000004,22.779999999999998,22.46,26.52
64,61.529999999999994,22.695,22.09,27.214999999999996
65,61.31,22.875,22.055,27.464999999999996
66,61.839999999999996,23.155,22.134999999999998,27.675
67,62.345000000000006,23.06,22.04,27.714999999999996
68,64.035,22.78,22.195,27.65
69,65.32000000000001,22.855,22.11,27.71
70,66.965,22.630000000000003,21.86,27.415
71,67.115,22.490000000000002,22.07,28.125
72,69.525,22.330000000000002,22.0,28.195
73,70.295,22.235,22.419999999999998,28.82
74,72.06,22.25,22.375,29.214999999999996
75,73.765,22.335,22.54,29.5
76,73.525,22.085,22.685,29.335
77,75.89500000000001,21.62,23.04,28.75
78,77.80499999999999,21.294999999999998,23.05,29.575
79,78.76,21.115000000000002,23.335,29.544999999999998
80,82.52000000000001,21.03,23.355,30.27
81,84.41,20.855,23.65,30.3
82,86.66499999999999,20.85,23.615000000000002,30.159999999999997
83,89.95,21.27,23.77,31.369999999999997
84,92.84,22.085,23.925,31.560000000000002
85,94.95,22.005000000000003,23.595,31.97
86,97.91,21.655,23.625,32.175
87,100.94500000000001,21.5,23.565,33.21
88,103.085,21.72,23.215,33.2
89,105.125,21.7,23.055,33.765
90,108.75999999999999,22.515,23.305,33.760000000000005
91,113.5,22.625,22.995,33.44
92,116.965,22.905,23.04,33.72
93,120.44500000000001,22.759999999999998,22.695,33.53
94,122.775,23.115000000000002,22.57,34.85
95,124.56500000000001,23.125,22.815,35.07
96,129.53,22.855,22.945,34.955
97,133.07999999999998,23.105,23.145,36.425
98,136.72,23.475,23.759999999999998,36.464999999999996
99,141.38,23.28,24.015,36.905
100,142.725,23.23,24.435,37.315
101,148.07999999999998,23.115000000000002,24.2,37.775
102,151.95499999999998,23.380000000000003,24.215,37.89
103,154.975,22.955000000000002,24.080000000000002,37.275
104,159.10999999999999,22.515,24.369999999999997,36.660000000000004
105,163.26000000000002,22.669999999999998,25.075,36.42
106,167.09499999999997,22.845,25.32,36.93
107,171.13,22.96,25.705000000000002,36.46
108,175.36,22.884999999999998,26.02,36.894999999999996
109,178.865,22.505000000000003,25.975,36.989999999999995
110,179.365,21.695,26.28,36.695
111,177.79,21.73,26.735000000000003,37.464999999999996
112,178.745,21.575,26.8,37.864999999999995
113,180.07999999999998,21.565,27.589999999999996,38.1
114,181.1,21.185,27.8,37.489999999999995
115,180.89000000000001,21.5,27.610000000000003,37.005
116,182.38,21.6,27.985000000000003,37.910000000000004
117,181.12,21.465,28.119999999999997,37.269999999999996
118,177.805,21.15,28.405,36.625
119,176.32,21.630000000000003,28.419999999999998,37.38
120,173.54000000000002,21.675,28.185000000000002,37.72
121,170.98499999999999,21.955000000000002,28.23,38.125
122,170.905,22.1,28.405,39.13
123,171.225,22.32,29.01,39.28
124,170.53000000000003,22.3,28.82,40.655
125,169.56,22.1,29.064999999999998,41.695
126,167.52,22.095,29.18,42.11
127,164.04000000000002,22.125,29.65,42.62
128,160.8,22.39,29.964999999999996,43.305
129,159.895,22.525,29.945,43.92
130,159.245,22.425,30.25,44.68
131,159.31,22.509999999999998,29.794999999999998,44.585
132,158.51,22.835,30.415,44.405
133,157.76500000000001,23.03,29.689999999999998,46.205
134,158.215,23.16,30.22,47.839999999999996
135,159.1,23.005,30.0,49.125
136,155.92000000000002,22.919999999999998,29.735000000000003,49.519999999999996
137,154.79000000000002,23.305,29.595,50.265
138,156.19,23.605,28.785000000000004,51.94500000000001
139,155.215,23.490000000000002,28.425,53.25
140,156.31,23.244999999999997,28.985000000000003,53.19
141,155.565,23.23,29.345,54.010000000000005
142,152.565,22.9,29.525,54.489999999999995
143,150.95999999999998,22.735,29.1,55.839999999999996
144,148.27,22.585,29.119999999999997,56.69500000000001
145,146.125,22.78,28.78,57.17999999999999
146,144.215,22.785,29.305,57.65500000000001
147,145.65,22.634999999999998,29.089999999999996,57.160000000000004
148,145.315,22.535,29.410000000000004,57.56
149,143.845,22.675,29.605,58.125
150,146.575,22.955000000000002,29.169999999999998,58.614999999999995
151,151.17,22.759999999999998,29.49,59.99000000000001
152,153.145,22.655,28.935000000000002,62.910000000000004
153,153.76500000000001,22.645,29.53,62.71
154,154.57999999999998,22.61,29.335,62.21999999999999
155,156.48499999999999,22.4,29.51,62.605
156,158.775,22.215,29.49,64.435
157,161.81,22.07,29.675,65.365
158,163.67000000000002,21.865000000000002,30.905,64.9
159,163.51,21.925,30.98,64.285
160,164.92000000000002,22.095,30.910000000000004,65.125
161,166.95,22.015,30.46,64.55499999999999
162,168.75,21.955000000000002,30.625,64.96000000000001
163,169.34,22.055,31.555,64.92
164,174.175,22.015,32.205,66.005
165,177.18,21.82,32.575,67.66
166,177.23,21.82,31.880000000000003,68.685
167,178.23499999999999,21.925,32.935,71.67
168,178.99,22.345,33.0,72.175
169,181.39000000000001,22.415,33.12,73.845
170,179.615,22.685,34.01,76.125
171,178.42000000000002,22.98,35.255,75.75
172,178.175,22.9,36.38,73.655
173,179.825,22.7,36.64,74.505
174,179.3,22.985,37.0,74.58500000000001
175,179.615,23.080000000000002,37.975,74.18
176,178.04500000000002,23.465,38.78,73.31
177,176.57,23.009999999999998,39.03,73.225
178,177.45499999999998,23.64,38.815,73.595
179,180.435,23.46,39.135000000000005,72.925
180,182.445,23.395,39.305,73.325
181,182.695,23.759999999999998,40.495,75.845
182,184.29500000000002,23.825,41.47,76.67
183,185.79500000000002,23.96,41.65,77.38
184,184.035,24.1,42.135000000000005,76.255
185,183.53500000000003,23.905,41.945,76.36
186,190.105,23.865000000000002,42.125,76.925
187,187.48000000000002,23.994999999999997,42.035000000000004,75.03
188,186.97,23.225,41.475,76.22
189,184.34,23.145,42.565,78.205
190,182.025,22.705000000000002,41.945,76.155
191,176.525,22.65,41.17,78.08
192,171.965,22.46,40.995,80.935
193,167.9,22.6,40.935,80.47999999999999
194,164.755,22.419999999999998,40.975,83.03
195,159.87,22.265,40.835,85.5
196,160.32999999999998,22.5,41.1,86.58500000000001
197,158.695,23.0,40.739999999999995,88.05
198,156.775,22.44,40.62,88.55499999999999
199,153.99,22.494999999999997,40.885000000000005,91.505
200,150.785,22.5,40.56,92.62
201,149.85,21.71,39.695,94.405
202,147.195,21.47,39.614999999999995,93.64500000000001
203,145.20499999999998,21.19,39.769999999999996,96.065
204,142.285,20.85,39.725,97.08
205,138.32,21.15,40.12,97.815
206,131.38,21.009999999999998,41.480000000000004,98.625
207,130.54000000000002,21.009999999999998,41.375,101.13
208,128.935,21.205000000000002,42.67,101.875
209,129.135,21.06,42.08,99.14
210,130.85,21.119999999999997,43.575,100.17999999999999
211,133.23,20.895,45.075,101.35499999999999
212,133.43,20.79,45.059999999999995,101.78
213,132.815,20.905,45.72,106.15
214,132.355,20.775,47.205,106.345
215,134.405,21.04,48.339999999999996,105.47
216,133.46499999999997,20.56,48.795,105.30999999999999
217,134.45,20.29,50.46,106.255
218,132.85,20.3,51.675,108.85999999999999
219,131.755,20.3,52.02,108.795
220,131.04000000000002,20.345,53.17999999999999,109.005
221,127.475,20.7,54.565,106.43500000000002
222,126.01500000000001,21.31,54.839999999999996,106.225
223,124.36500000000001,21.175,55.705,105.425
224,122.53999999999999,21.25,55.970000000000006,106.545
225,123.13499999999999,21.35,57.625,108.62
226,122.665,21.490000000000002,57.44500000000001,109.205
227,121.47999999999999,21.305,58.489999999999995,110.245
228,120.095,21.54,59.635000000000005,109.325
229,118.06500000000001,21.805,60.620000000000005,110.755
