episode,A2C,DQN,PPO,QNN
1,24.5,19.0,17.0,41.9
11,26.127272727272725,24.918181818181818,21.027272727272727,24.59090909090909
21,29.110000000000003,23.785,22.015,21.580000000000002
31,37.37,22.325,21.535,23.91
41,45.230000000000004,21.78,21.54,27.915
51,52.73,21.9,23.015,27.71
61,61.855,23.255000000000003,22.240000000000002,26.595
71,67.115,22.490000000000002,22.07,28.125
81,84.41,20.855,23.65,30.3
91,113.5,22.625,22.995,33.44
101,148.07999999999998,23.115000000000002,24.2,37.775
111,177.79,21.73,26.735000000000003,37.464999999999996
121,170.98499999999999,21.955000000000002,28.23,38.125
131,159.31,22.509999999999998,29.794999999999998,44.585
141,155.565,23.23,29.345,54.010000000000005
151,151.17,22.759999999999998,29.49,59.99000000000001
161,166.95,22.015,30.46,64.55499999999999
171,178.42000000000002,22.98,35.255,75.75
181,182.695,23.759999999999998,40.495,75.845
191,176.525,22.65,41.17,78.08
201,149.85,21.71,39.695,94.405
211,133.23,20.895,45.075,101.35499999999999
221,127.475,20.7,54.565,106.43500000000002
231,114.2,22.07,60.8,112.88499999999999
241,111.72,22.884999999999998,68.185,113.00999999999999
251,140.445,23.505000000000003,78.575,110.85
261,178.255,24.44,99.06,123.45
271,191.725,23.805,129.95999999999998,144.055
281,187.48,22.435,170.10999999999999,148.57
291,167.79000000000002,22.884999999999998,224.40500000000003,156.245
301,128.74,24.4,281.46999999999997,172.175
311,103.795,22.945,327.24,180.885
321,105.30999999999999,21.02,388.125,183.315
331,119.96,22.125,441.81000000000006,186.435
341,135.29000000000002,23.1,463.56499999999994,200.255
351,169.16000000000003,22.9,484.86499999999995,213.86999999999998
361,203.575,22.485,498.555,215.94
371,185.41,22.52,499.21000000000004,216.51500000000001
381,170.44,22.75,499.21000000000004,223.615
391,177.175,22.19,500.0,226.17000000000002
401,166.385,20.8,500.0,231.295
411,149.76500000000001,19.845,500.0,248.48499999999999
421,146.37,21.25,500.0,246.92000000000002
431,154.495,22.655,500.0,240.375
441,154.32,23.0,500.0,245.89000000000001
451,138.915,23.46,500.0,242.815
461,131.575,23.23,500.0,232.805
471,152.69,22.72,500.0,225.38000000000002
481,181.07,21.544999999999998,500.0,226.85999999999999
491,183.04000000000002,21.175,500.0,230.115
501,165.555,22.57,500.0,234.185
511,164.14000000000001,22.8,500.0,238.68
521,165.475,21.965,500.0,238.125
531,163.20999999999998,22.18,500.0,230.76
541,169.645,23.175,500.0,233.06
551,175.7,23.580000000000002,500.0,242.51999999999998
561,173.35999999999999,21.925,500.0,240.965
571,177.465,20.945,500.0,238.525
581,207.49499999999998,21.735,500.0,241.315
591,243.68,21.905,500.0,244.1
601,250.99,21.19,500.0,238.64000000000001
611,254.49,21.555,500.0,237.76
621,268.99,22.53,500.0,239.385
631,267.475,22.81,500.0,237.19
641,266.645,22.975,500.0,233.205
651,277.515,22.48,500.0,233.26
661,294.27,22.884999999999998,500.0,233.43
671,305.15,22.775,500.0,230.205
681,309.21999999999997,21.695,500.0,225.26500000000001
691,302.81,22.740000000000002,500.0,216.38000000000002
701,293.28000000000003,24.31,500.0,217.955
711,291.725,23.86,500.0,223.475
721,302.54,22.03,500.0,222.98000000000002
731,304.70500000000004,21.44,500.0,224.66500000000002
741,288.445,22.669999999999998,500.0,227.705
751,287.745,22.585,500.0,233.39499999999998
761,290.91999999999996,21.315,500.0,238.26
771,296.82,21.6,500.0,242.48000000000002
781,310.79,22.695,500.0,251.85999999999999
791,330.40999999999997,21.105,500.0,254.25
801,351.335,19.7,500.0,255.86999999999998
811,357.34499999999997,20.345,500.0,262.315
821,353.54499999999996,21.94,500.0,270.20500000000004
831,366.26,23.305,500.0,279.205
841,370.45,23.615000000000002,500.0,281.275
851,347.875,22.645,500.0,280.69
861,353.38,21.555,500.0,290.9
871,371.29499999999996,22.605,500.0,295.70500000000004
881,367.13,22.735,500.0,292.7
891,372.515,23.134999999999998,500.0,295.635
901,372.225,23.425,500.0,291.3
911,351.365,22.255000000000003,500.0,279.615
921,337.61,22.115000000000002,500.0,264.71500000000003
931,345.885,23.14,500.0,261.59499999999997
941,359.375,22.39,500.0,268.36
951,374.255,21.57,500.0,271.935
961,400.03000000000003,21.6,500.0,274.125
971,397.06,21.19,500.0,274.83000000000004
981,388.91999999999996,22.905,500.0,274.465
991,397.78000000000003,22.69,500.0,265.09499999999997
1001,413.63500000000005,21.695,500.0,261.96999999999997
1011,423.63,22.5,500.0,258.53499999999997
1021,417.225,23.165,500.0,266.8
1031,417.16,22.490000000000002,500.0,277.26
1041,425.605,22.015,500.0,269.15500000000003
1051,413.58500000000004,21.915,500.0,263.76
1061,393.635,22.09,500.0,268.54
1071,391.915,22.56,500.0,277.26
1081,397.88,21.965,500.0,286.90999999999997
1091,390.245,21.365000000000002,500.0,288.49
1101,358.395,22.345000000000002,500.0,281.95
1111,330.04499999999996,23.634999999999998,500.0,277.8
1121,309.07,22.925,500.0,267.775
1131,305.4,22.625,500.0,261.87
1141,332.71999999999997,22.884999999999998,500.0,258.95500000000004
1151,380.38,22.455000000000002,500.0,265.21999999999997
1161,391.33000000000004,21.595,500.0,269.52
1171,370.77,20.785,500.0,266.08000000000004
1181,364.935,20.57,500.0,268.995
1191,363.325,21.445,500.0,256.975
1201,361.11,21.625,500.0,247.3
1211,360.385,21.34,500.0,248.16
1221,365.02,21.985,500.0,244.67
1231,367.29499999999996,22.97,500.0,246.20999999999998
1241,354.91999999999996,22.265,500.0,249.31
1251,328.755,21.055,500.0,250.435
1261,307.075,23.15,500.0,249.865
1271,298.6,23.835,500.0,245.06
1281,301.43,22.119999999999997,500.0,246.41
1291,310.53000000000003,21.994999999999997,500.0,247.64000000000001
1301,323.82,21.380000000000003,500.0,247.40500000000003
1311,348.81,21.565,500.0,246.205
1321,376.985,22.03,500.0,244.325
1331,385.765,21.955000000000002,500.0,249.65
1341,386.06,22.494999999999997,500.0,249.4
1351,402.085,22.75,500.0,245.0
1361,404.0,22.79,500.0,245.825
1371,362.96,22.119999999999997,500.0,251.88000000000002
1381,300.28000000000003,21.07,500.0,250.535
1391,290.12,22.69,500.0,248.24499999999998
1401,295.53499999999997,24.86,500.0,241.69
1411,268.385,23.515,500.0,246.39499999999998
1421,266.02,22.56,500.0,247.35
1431,260.15999999999997,22.494999999999997,500.0,242.15500000000003
1441,251.05,22.470000000000002,500.0,255.295
1451,265.65500000000003,22.41,500.0,258.35
1461,257.71,20.91,500.0,248.785
1471,245.68,20.515,500.0,244.135
1481,259.555,21.919999999999998,500.0,251.35500000000002
1491,274.44,22.675,500.0,252.715
1501,284.40500000000003,22.78,500.0,250.025
1511,295.21999999999997,22.305,500.0,249.865
1521,309.29,21.735,500.0,253.54000000000002
1531,316.82,21.7,500.0,249.465
1541,316.005,21.244999999999997,500.0,243.44
1551,302.04499999999996,22.045,500.0,247.64000000000001
1561,299.065,23.119999999999997,500.0,250.98000000000002
1571,312.2,22.744999999999997,500.0,255.525
1581,295.09499999999997,22.294999999999998,500.0,256.95500000000004
1591,292.615,22.985,500.0,255.60500000000002
1601,317.375,22.375,500.0,257.115
1611,331.12,21.375,500.0,260.56
1621,338.02,21.25,500.0,265.185
1631,334.665,21.625,500.0,261.055
1641,342.73,21.3,500.0,264.04499999999996
1651,360.12,21.15,500.0,269.475
1661,359.365,22.79,500.0,265.415
1671,354.14,22.605,500.0,267.475
1681,339.58000000000004,21.695,500.0,265.43
1691,327.90500000000003,22.055,500.0,258.95
1701,331.245,21.345,500.0,257.635
1711,338.975,19.990000000000002,500.0,257.23
1721,359.185,21.45,500.0,252.275
1731,359.385,23.035,500.0,248.565
1741,344.16999999999996,23.09,500.0,246.64000000000001
1751,333.79499999999996,21.855,500.0,243.38000000000002
1761,332.34000000000003,21.675,500.0,242.545
1771,335.685,23.735,500.0,246.125
1781,331.75,24.195,500.0,240.45
1791,334.45500000000004,23.945,500.0,237.66500000000002
1801,333.665,24.080000000000002,500.0,241.88000000000002
1811,331.185,22.735,500.0,245.06
1821,333.415,20.740000000000002,500.0,247.93
1831,323.21500000000003,21.935,500.0,246.35999999999999
1841,304.435,23.19,500.0,247.55
1851,284.505,21.380000000000003,500.0,249.04000000000002
1861,273.55,20.595,500.0,250.45
1871,272.9,21.525,500.0,250.935
1881,271.71,22.025,500.0,256.725
1891,272.1,22.634999999999998,500.0,262.045
1901,270.70500000000004,21.869999999999997,500.0,264.555
1911,273.355,22.080000000000002,500.0,266.515
1921,279.945,22.715,500.0,261.44
1931,268.885,21.98,500.0,257.425
1941,272.59000000000003,22.35,500.0,253.73000000000002
1951,292.4,22.205000000000002,500.0,251.365
1961,294.15,22.215,500.0,252.16
1971,297.64,20.73,500.0,255.94
1981,304.71500000000003,20.845,500.0,261.915
1991,283.225,21.64,500.0,271.4
