turn,DQN,A2C,PPO
0,0.0024642857142857144,0.002767857142857143,0.002660714285714286
1256,3.147839285714241,3.1027857142856705,3.151464285714241
2512,6.295732142857031,6.167089285714193,6.299214285714173
3768,9.437392857142934,9.211428571428673,9.43985714285722
5025,12.570107142857708,12.234160714286185,12.568321428571995
6281,15.704535714286768,15.176321428572116,15.703107142858133
7537,18.84253571428625,18.052160714286085,18.876517857143384
8793,21.98323214285705,20.927732142857185,22.037339285714186
10050,25.12049999999929,23.804446428571186,25.177267857142134
11306,28.262857142855808,26.693285714285313,28.332089285713025
12562,31.398714285712323,29.55953571428548,31.47333928571294
13819,34.5541785714278,32.43758928571481,34.61449999999958
15075,37.69139285714369,35.3067500000014,37.75814285714385
16331,40.825678571431006,38.174660714287995,40.90908928571683
17587,43.974375000004045,40.95698214286023,44.04062500000411
18844,47.119107142862795,43.73689285714664,47.178785714291394
20100,50.25432142857869,46.47517857143298,50.328482142864246
21356,53.39439285715172,49.17183928571918,53.446839285722575
22612,56.54171428572476,51.816946428576465,56.58212500000909
23869,59.68423214286922,54.421803571433486,59.69966071429519
25125,62.81864285715654,56.963178571433026,62.82055357143776
26381,65.95310714286965,59.50391071428921,65.90828571429375
27638,69.09155357143823,62.02591071428777,69.00151785714911
28894,72.23316071429251,64.54585714285763,72.10305357143274
30150,75.37060714286108,67.10337499999872,75.18933928571616
31406,78.50844642857251,69.65687499999687,78.26787499999944
32663,81.64462499999823,72.08976785713786,81.35257142856835
33919,84.7918571428525,74.45496428570742,84.43426785713719
35175,87.9216785714211,76.90748214284835,87.55505357142023
36432,91.06287499998967,79.31660714284637,90.6593571428461
37688,94.19694642855825,81.72942857141577,93.74437499998629
38944,97.34062499998396,84.10651785712805,96.79676785712647
40200,100.48096428569539,86.50160714284033,99.8652857142666
41457,103.62994642854967,88.87789285712402,102.9230714285496
42713,106.7806964285468,91.2446071428363,105.96019642854691
43969,109.9139285714011,93.58544642854861,109.0162321428299
45225,113.05426785711254,95.92324999997516,112.05805357139863
