turn,qucb_mean,qucb_low,qucb_high,ucb_mean,ucb_low,ucb_high,thomp_mean,thomp_low,thomp_high
0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.00025,0.0002018874775675312,0.0002981125224324688
1250,0.3014550000000337,0.29247149633323805,0.3104385036668294,0.30841071428574873,0.30612042919406024,0.3107009993774372,0.26555357142860114,0.23076801960129822,0.30033912325590406
2500,0.6010550000000677,0.5823575539272334,0.619752446072902,0.6140714285714973,0.6088608678232992,0.6192819893196955,0.5338392857143499,0.46509874979253485,0.602579821636165
3750,0.8981250000001143,0.871010760408405,0.9252392395918236,0.9283928571429609,0.9215591193915295,0.9352265948943924,0.7909642857144058,0.6881837304261813,0.8937448410026303
5000,1.1941800000001888,1.1559213233451513,1.2324386766552262,1.2411785714287638,1.2321022047146704,1.2502549381428572,1.0531607142859036,0.9166350101398237,1.1896864184319835
6250,1.5080600000002906,1.4725604258955673,1.5435595741050139,1.5498571428574384,1.5376795858390602,1.5620346998758166,1.3357321428574127,1.163600901242017,1.5078633844728084
7500,1.7321100000003653,1.679025517314539,1.7851944826861916,1.8595714285718277,1.8441522264146903,1.874990630728965,1.6000892857146398,1.3925346807148484,1.8076438907144312
8750,1.9571100000004384,1.8798715061758797,2.0343484938249974,2.1697500000005023,2.1542846115236194,2.1852153884773853,1.8711607142861417,1.626447784458391,2.1158736441138926
10000,2.2844850000005423,2.209173414424532,2.359796585576553,2.4719821428577466,2.455774934606447,2.4881893511090465,2.1453035714290283,1.8648615576222054,2.425745585235851
11250,2.665735000000663,2.598690405895402,2.7327795941059243,2.7908035714292816,2.771732270736622,2.809874872121941,2.411750000000445,2.093636327657094,2.729863672343796
12500,2.9909600000007606,2.9197195557788804,3.0622004442226407,3.101839285715099,3.08159032183848,3.122088249591718,2.682964285714714,2.3274320965687605,3.038496474860667
13750,3.085415000000786,3.0067559335166645,3.164074066484907,3.3993928571437704,3.3774334586252346,3.421352255662306,2.959214285714689,2.5667057153666275,3.3517228560627506
15000,3.185220000000754,3.092164627020978,3.2782753729805294,3.7072857142867304,3.68232913256411,3.7322422960093506,3.239160714286065,2.810328966365233,3.667992462206897
16250,3.2852200000007024,3.1767181812941696,3.393721818707235,4.023285714286776,3.9963548255116366,4.050216603061916,3.5186785714288598,3.0561087767421506,3.981248366115569
17500,3.3852200000006523,3.259536602609454,3.5109033973918504,4.333232142858072,4.307464067549268,4.359000218166876,3.79500000000026,3.298468585317204,4.291531414683316
18750,3.595890000000673,3.4600148786018474,3.7317651213994987,4.651589285715039,4.625956409411366,4.677222162018712,4.062142857143124,3.5322291563117787,4.59205655797447
20000,4.083390000000842,3.9556115335288444,4.211168466472839,4.95621428571487,4.928490956993312,4.983937614436427,4.328982142857404,3.7658687310080836,4.892095554706724
21250,4.570890000000674,4.4462032282909485,4.695576771710399,5.271589285714695,5.243462834504985,5.299715736924405,4.594250000000265,3.9981623167485867,5.190337683251944
22500,5.058390000000414,4.931423814535478,5.18535618546535,5.573892857143099,5.542187279992574,5.605598434293623,4.853571428571721,4.223770184563785,5.483372672579657
23750,5.545890000000155,5.411546410163107,5.680233589837204,5.879107142857215,5.843837149117119,5.914377136597311,5.0971250000003465,4.434973864128628,5.759276135872065
25000,5.865989999999989,5.7234638080104725,6.008516191989506,6.17417857142848,6.136255078982663,6.212102063874297,5.3261785714289696,4.63412847058866,6.018228672269279
26250,5.902614999999978,5.756053093395884,6.049176906604072,6.488749999999734,6.448905962950785,6.528594037048683,5.554553571429021,4.833082359334822,6.276024783523219
27500,5.933864999999961,5.784348308783646,6.0833816912162755,6.781357142856715,6.740309294783499,6.822404990929931,5.777857142857657,5.025044915336235,6.53066937037908
28750,5.970819999999971,5.814727273330228,6.1269127266697145,7.06503571428513,7.020331299054456,7.109740129515803,6.003196428572051,5.218346426751967,6.788046430392135
30000,6.008320000000018,5.844340565387735,6.1722994346123015,7.368535714284961,7.32112922090977,7.4159422076601516,6.226196428572192,5.4094597712458805,7.042933085898503
31250,6.045820000000064,5.873023453767478,6.21861654623265,7.6655714285705345,7.616136642321811,7.715006214819258,6.4436785714294755,5.596236691285731,7.29112045157322
32500,6.083320000000109,5.900910807354472,6.265729192645746,7.987624999999083,7.93597176553799,8.039278234460177,6.65055357142962,5.773087354869805,7.528019787989434
33750,6.120820000000156,5.92812164377745,6.313518356222861,8.300392857142159,8.243723048889185,8.357062665395132,6.856142857143949,5.949189922550609,7.763095791737289
35000,6.158320000000201,5.954758522363077,6.361881477637326,8.608696428571074,8.552163987521093,8.665228869621055,7.075428571429668,6.139282953730979,8.011574189128357
36250,6.195820000000226,5.98090846093762,6.410731539062832,8.92264285714288,8.863398855274522,8.98188685901124,7.3015178571439705,6.336461544026067,8.266574170261874
37500,6.501525000000076,6.279373131914924,6.723676868085229,9.2176607142861,9.156526650846077,9.278794777726121,7.527482142858291,6.532868008909019,8.522096276807565
38750,7.032774999999782,6.805428161294082,7.260121838705483,9.52494642857219,9.462946730782667,9.586946126361712,7.75025000000119,6.72546685398301,8.77503314601937
40000,7.5640249999994875,7.329444794209959,7.798605205789016,9.838357142858285,9.774346536629626,9.902367749086945,7.964535714286925,6.909963243950578,9.019108184623272
41250,8.095274999999708,7.851604492695128,8.338945507304288,10.159071428572963,10.094976407169444,10.223166449976482,8.17732142857263,7.091994013750571,9.262648843394691
42500,8.626525000000335,8.372106221969077,8.880943778031593,10.459964285716188,10.392371492704982,10.527557078727394,8.394767857144062,7.276643710727089,9.512892003561035
43750,9.15777500000096,8.891150416733026,9.424399583268894,10.77732142857372,10.708625881526892,10.846016975620547,8.61292857142978,7.462168179066801,9.76368896379276
45000,9.689025000001575,9.40892755714693,9.96912244285622,11.092642857145533,11.02316133597741,11.162124378313656,8.826571428572635,7.643839102235184,10.009303754910086
46250,10.22027500000218,9.925611391988477,10.514938608015884,11.41310714286021,11.345209546661597,11.481004739058825,9.036803571429774,7.82214507452071,10.251462068338837
47500,10.751525000002784,10.441355914527412,11.061694085478157,11.713017857146292,11.641596523270156,11.784439191022429,9.24905357142977,8.004374967289182,10.493732175570356
48750,11.28277500000339,10.95629492927221,11.609255070734571,12.012482142860945,11.93792120367544,12.08704308204645,9.462285714286848,8.187147007123757,10.737424421449939
50000,11.447895000003548,11.113903972686842,11.781886027320255,12.319500000004178,12.243718048983219,12.395281951025137,9.672589285715345,8.36604736077666,10.97913121065403
51250,11.466645000003526,11.128590509723086,11.804699490283966,12.632196428575986,12.551318125999918,12.713074731152053,9.879464285715219,8.541424956208484,11.217503615221954
52500,11.483810000003507,11.142020637866938,11.825599362140075,12.924125000004915,12.841895386068783,13.006354613941047,10.08583928571509,8.715881823197039,11.455796748233142
53750,11.4963100000035,11.152359938457648,11.840260061549353,13.241053571433875,13.157278779086308,13.324828363781442,10.294071428572067,8.890435305421791,11.697707551722344
55000,11.508810000003493,11.162489348984467,11.855130651022519,13.55869642857712,13.47245877959061,13.64493407756363,10.499250000000462,9.062226483962153,11.93627351603877
56250,11.531280000003479,11.181651781133327,11.88090821887363,13.854928571434623,13.768876647147671,13.940980495721575,10.707375000000251,9.237219652950259,12.177530347050244
57500,11.55628000000344,11.202783964684995,11.909776035321885,14.176125000006445,14.089856858654496,14.262393141358395,10.91994642857146,9.416605531963741,12.42328732517918
58750,11.581280000003392,11.223534234347902,11.939025765658883,14.461035714292507,14.372735327622282,14.549336100962732,11.128982142856957,9.59225386286275,12.665710422851165
60000,11.606280000003345,11.243916026896144,11.968643973110545,14.78273214286433,14.695458022162411,14.870006263566248,11.339732142856741,9.769376947325634,12.910087338387848
61250,11.631280000003299,11.263943239699259,11.998616760307339,15.097839285721816,15.011837370623809,15.183841200819824,11.549821428570823,9.945978464073086,13.15366439306856
