qucb,thomp,ucb
86.21995,16.889982,501.3254
58.63064,7.635618,87.53691
63.130447,13.7592,217.98889
52.03258,5.7813983,43.360485
79.3273,8.4861765,56.451523
94.61581,10.108526,127.973946
75.20995,9.963712,98.03007
75.295715,17.510632,57.78508
106.78111,15.971534,104.04314
41.19153,4.1191525,50.802883
70.97854,11.554646,86.82491
67.881775,11.050522,44.833546
47.639324,103.98153,648.1142
86.47394,9.423442,132.85205
92.59762,5.5989256,59.43475
53.897045,4.1919923,44.914204
74.12399,3.0093074,97.08976
81.37127,3.7847102,56.770653
76.406166,2.4876425,53.30663
96.25451,8.506212,56.857315
65.4468,3.044037,85.537445
87.78763,24.197872,135.99579
114.45515,1.5970485,60.687847
118.93949,3.3192415,42.596935
82.58403,27.03201,413.8295
140.3556,30.590326,70.77762
106.12683,149.14241,217.35904
73.26521,10.223053,61.679085
54.913166,7.3217554,40.879803
89.42384,2.6750722,145.02713
117.6044,8.292618,80.66456
103.1415,6.236463,56.128166
51.250153,4.555569,41.000122
54.63286,53.58223,248.41608
52.930332,10.832254,90.84322
51.95453,21.314678,163.52354
108.39305,8.06646,45.87799
49.75751,9.398642,54.1804
54.167694,6.0186324,33.102478
67.50621,13.270452,154.34113
79.68896,23.668303,88.37301
96.31002,6.7193036,51.066708
84.93792,10.271563,58.863956
38.100395,81.73841,430.2186
65.87177,40.817978,118.231384
56.944153,10.756118,36.06463
88.17571,3.0145543,157.32205
90.77337,47.662987,216.01646
52.246048,5.8051167,36.572235
77.27588,3.5942268,93.80932
108.41871,23.861382,67.64586
100.932144,15.528023,94.03081
57.925865,12.662864,87.83177
49.68129,4.416115,41.95309
63.14083,4.2093887,38.586063
59.59052,5.959052,35.75431
75.25801,57.77227,207.44096
76.495926,5.69272,75.42854
122.13765,34.878613,184.01906
111.1064,21.129208,100.6605
50.88844,4.523417,45.799595
64.34954,12.099914,142.86148
69.02503,41.886986,124.776024
39.36051,11.808154,47.232616
72.87569,87.29676,729.0883
105.57454,3.1582127,82.79029
57.355324,8.269837,94.4362
72.03162,9.045832,68.68131
113.16762,16.684969,104.94604
72.748276,7.2748275,29.907623
119.098915,10.433879,79.90825
60.74185,7.3455267,48.310963
83.90004,34.435944,297.98685
55.05621,4.28215,30.586784
60.41347,18.54553,67.719284
44.60165,10.407052,43.6105
93.19427,8.669234,57.65041
57.360916,15.474108,90.71028
67.81515,21.300913,124.037964
68.61193,27.540924,339.1105
98.15043,11.534773,108.00742
73.188385,3.9096363,119.634865
96.83669,30.626957,204.17972
41.917374,10.246469,49.36935
107.80671,8.292824,100.89602
68.005844,14.866394,53.455757
90.896324,0.8455472,43.968456
87.015114,8.405364,365.2196
75.283714,8.403764,65.479324
106.41774,38.885498,184.40659
96.62183,13.93152,47.63681
66.50375,8.38402,165.40677
86.965744,7.6187935,165.38358
58.615788,3.2564325,42.333626
61.023853,9.4925995,43.39474
104.92033,8.296026,51.72816
61.390713,6.1390715,34.105953
59.820904,7.9761205,33.233837
78.18886,2.6062953,26.062954
126.62537,8.387578,73.05309
68.05484,3.4818754,62.040688
77.537186,22.081411,451.25244
85.05936,1.8902079,23.6276
83.1641,12.4390745,132.56499
62.853382,12.278336,79.224495
57.393517,10.677864,92.36352
65.8278,25.718767,51.13136
72.32517,8.291115,319.7261
71.53666,15.897035,173.95024
51.69983,6.318868,46.529846
66.195335,30.556904,276.29947
50.515553,10.10311,37.04474
74.102264,27.96452,336.98358
58.692585,17.198292,81.07767
88.10538,8.605641,55.731773
56.87026,96.171646,416.0264
47.078384,8.892584,47.078384
52.893833,4.1139646,57.595505
74.076546,6.546299,101.98445
99.03592,17.775677,88.03192
66.73068,4.847955,162.97685
113.97226,6.891346,50.88994
86.1503,24.11472,128.48912
127.66174,12.82073,71.46875
106.152725,8.887205,38.511223
73.32118,10.91292,70.933975
76.40802,2.502617,376.48743
72.92456,4.861637,31.600643
73.11784,3.2496822,39.808605
79.72201,17.798403,91.58761
107.146645,1.4950695,69.27155
69.29596,3.7017074,134.74214
132.62805,15.796041,531.6696
91.2418,45.200645,215.54358
75.0095,8.373154,68.031876
89.56061,18.186808,560.1138
114.6372,6.398355,39.456524
65.387184,32.258568,318.50317
111.067924,16.850048,89.94603
64.974785,11.483915,97.00886
81.981255,11.283707,376.6296
95.282,4.4790683,104.85092
47.740154,28.460476,172.49701
77.00906,92.536995,239.53996
77.85001,3.9830241,58.29699
43.116043,4.311604,63.236862
109.108826,8.44696,412.3898
59.446926,3.302607,26.420856
70.75572,6.911024,80.62862
64.14083,4.2760553,29.932388
81.525665,4.3550034,101.03608
81.74487,12.927095,61.593807
79.761314,23.689793,133.10596
38.551636,20.989223,61.254265
68.994255,3.8330142,30.664114
102.32094,14.753251,49.97069
52.07865,7.522472,51.5
63.62374,4.241583,44.536617
75.12309,38.035362,692.4777
89.40199,4.5740557,66.531715
81.674225,3.6299653,29.039722
73.4005,18.663803,115.27643
98.4629,37.59126,184.73131
69.851364,3.104505,30.268925
109.500015,94.57681,559.3357
60.12839,15.102015,47.54338
67.39025,28.523314,67.39025
66.36198,1.8519622,97.22802
49.90717,19.94154,175.42157
85.90039,2.8633463,27.679016
97.02604,16.585648,104.48958
56.568058,14.734006,92.35065
69.02973,6.135976,21.475916
121.45149,13.176928,183.10957
112.11843,9.90814,46.411816
68.950745,5.362836,33.709255
76.2264,8.863535,71.9719
36.69474,36.382523,401.879
150.73857,2.1033287,35.05548
88.14393,110.185356,450.39954
80.04006,12.484882,135.11037
93.95221,12.045156,105.796616
98.36207,6.4049716,48.494785
64.82473,6.030207,110.35279
93.24729,6.9393334,51.61129
54.4751,7.8686256,39.34313
152.0461,30.191343,156.24799
97.00442,15.131031,110.062706
89.32359,19.29097,232.31448
58.2261,19.228153,75.016884
79.219055,20.989664,138.12553
113.52257,82.67034,239.71558
56.247234,6.2496924,39.99803
83.0407,1.9311792,47.89324
78.9765,3.5100667,32.468117
102.4723,9.02008,203.68597
64.187454,6.5680184,79.413315
59.865784,5.56891,64.59936
75.98957,2.827519,72.45518
81.98184,11.036017,126.12591
54.758156,6.1125383,88.37711
74.142365,14.416572,134.02658
135.11177,50.379513,234.31546
60.629143,6.0629144,33.0092
72.07037,5.0281653,44.583065
91.887856,7.2655516,73.510284
71.662056,41.802864,150.82718
94.43259,12.298197,48.314346
49.137424,12.557342,34.94217
66.8817,13.998496,65.94847
84.8545,13.418851,51.30737
69.36157,11.263845,215.19873
61.646626,7.256256,280.97485
68.50146,4.566764,47.18989
91.217064,8.485308,53.45744
101.53061,17.458693,241.82367
141.18805,1.9700658,36.117874
119.06526,8.650041,127.46089
85.49307,9.145771,60.043972
110.99061,32.219494,297.91922
83.777084,3.5802174,136.22726
111.03915,59.89522,228.89749
89.25318,7.8874907,48.98547
156.31053,18.878857,142.23138
122.95401,66.47971,568.9094
71.731834,33.873367,73.41784
121.67135,27.403458,282.2556
67.492134,6.749213,31.496328
92.98626,6.919908,50.601826
55.84494,6.8254924,42.193954
113.194016,45.439995,629.5245
73.78455,8.236415,75.84365
119.29419,24.298407,193.41043
52.981533,25.628277,101.03455
73.28048,8.520987,80.43811
114.60197,4.7972913,35.180138
87.49491,5.2903895,58.194286
73.84619,19.274082,194.70602
72.49746,15.955638,133.84146
60.337696,14.032022,75.49228
71.78597,22.548159,133.60167
72.513885,11.804585,69.47842
100.16033,41.37646,750.4762
96.459724,221.47035,399.65347
103.602196,13.010509,41.44088
100.048744,6.980145,49.7917
113.11111,62.556442,220.73083
50.88081,2.8267117,49.184784
80.179184,1.7817596,26.726395
50.983257,24.187405,116.43153
57.509235,22.73335,242.81677
71.70583,3.9836576,30.275797
102.66411,7.64012,55.868378
33.132015,5.153869,80.98937
56.739365,5.0434995,52.95674
64.1459,175.28627,408.9856
74.7571,10.223193,140.24944
86.50947,6.284876,153.60976
62.220066,17.074343,70.90193
62.82216,2.792096,46.069584
73.80998,1.7165112,53.55515
119.56551,16.33703,300.52954
77.5191,73.9528,474.14536
78.8584,7.7024484,58.68532
105.286285,6.0073256,289.66904
93.10339,30.754875,365.37723
58.239307,5.8239307,32.35517
92.83865,8.133301,96.80612
57.249783,5.7249784,38.80263
80.09719,46.239635,609.9115
67.14156,5.2221217,31.33273
95.998375,4.421624,173.22942
113.729576,18.468906,80.43694
96.31075,119.68948,334.53284
96.74675,4.049864,59.84799
115.23235,10.208272,326.72238
66.187546,2.9416687,24.268766
105.72765,8.359861,47.20863
49.02647,94.7956,156.05545
110.77048,6.182538,31.427902
101.42834,18.998346,185.51938
83.573105,10.495227,71.523026
93.78,15.702698,61.50223
83.92963,13.272593,64.41111
105.78604,10.171735,73.46253
68.80429,6.115937,27.521717
47.524376,17.683489,79.796745
105.043945,12.569362,84.61874
86.96929,13.753283,57.84469
66.1375,5.878889,33.80361
81.85299,24.311037,120.85558
102.74168,30.037266,485.24667
56.44649,8.153382,40.139725
72.85865,35.87002,240.50067
94.93703,3.974108,37.974808
133.7784,8.575539,72.89208
86.31305,47.17622,241.18181
79.76212,14.286971,260.4311
57.830627,8.3533125,34.055813
111.95218,7.415636,93.5327
49.926613,8.875842,41.60551
100.263214,3.2643836,45.70137
56.371243,5.010777,45.72334
88.783066,10.813322,136.58932
78.21488,2.0055099,148.57486
106.349976,8.903719,50.94906
101.10991,3.456749,121.63436
6.4848914,161.05533,595.9033
55.166603,4.2907357,36.164772
75.11082,5.007388,32.548023
88.38646,26.4744,572.09625
51.40915,2.8560638,47.41066
70.39501,6.875792,57.298267
86.20125,18.971642,149.01027
138.88126,7.1055527,38.75756
55.946198,7.459493,51.594826
99.65372,7.0268645,87.72934
45.682644,15.227548,52.281246
98.12307,23.063116,128.52444
62.78847,5.5811973,36.975433
40.86035,4.540039,63.560547
107.91396,16.602148,96.38469
130.04024,30.080956,134.965
67.72253,4.5148354,30.098902
71.57554,22.533041,517.54346
118.404854,34.26507,478.86166
71.28777,16.755672,147.14528
62.54014,6.948904,33.35474
98.567406,9.627514,48.13757
112.81119,6.8211417,35.155113
89.58986,9.261592,191.74246
53.95342,6.5943065,37.16791
137.79277,33.310265,352.1371
105.62146,31.088186,457.15308
59.513725,16.022926,177.90535
97.550865,11.464311,80.45862
86.28583,7.5592284,160.0344
95.35878,8.427055,69.19056
79.7961,1.1935313,119.182625
68.143295,53.273186,530.31036
105.70121,7.001576,90.79463
62.280445,11.297383,118.477684
94.11862,17.094194,126.69814
61.39233,6.2257867,559.1212
95.5816,4.6973863,112.124565
47.679874,3.5482697,98.24272
78.1002,8.718162,74.46763
84.37334,1.8749629,23.437037
121.770775,17.613491,335.1439
64.39281,5.366067,194.9671
75.706436,4.205913,30.282576
57.904186,5.1470385,37.31603
63.32789,7.7400756,33.07123
67.19398,7.5007234,80.320244
74.22729,6.597981,28.041418
117.01454,26.109694,152.586
74.58358,4.972239,29.833433
81.25299,5.416866,30.695574
51.901123,8.073508,44.980972
45.56838,8.607361,39.492596
55.505272,4.3170767,27.752636
66.24262,11.040437,170.70213
57.06201,357.8566,215.26971
59.13425,8.526334,83.88812
127.38962,13.169244,179.67543
106.23475,21.203455,150.81638
45.94834,18.379335,47.47995
101.1427,7.99733,44.22053
63.61071,70.86959,425.7906
63.095436,7.7116647,26.640295
99.636444,20.396048,315.46555
58.263138,7.858749,97.556885
119.66601,20.699648,113.1744
73.728935,3.2768414,30.310783
86.93993,22.068682,200.9318
49.04171,20.98529,109.94467
69.93324,36.573986,673.52
143.58221,40.267685,131.9722
53.528877,5.3528876,51.149815
116.87714,6.523375,41.858322
77.7012,38.651775,309.92996
56.207504,5.6207504,38.720726
87.449066,2.914969,27.206377
109.08511,10.722041,90.205
67.91006,4.527337,33.20047
97.11286,11.743881,59.62278
79.7435,5.1926003,79.0017
46.42675,8.769497,43.33163
53.553516,2.2417753,95.89816
67.215454,56.382935,437.67422
70.536316,13.123035,77.75398
80.875946,12.09683,117.33925
53.39579,13.907742,98.09924
85.958954,10.653033,97.16301
106.17083,11.186934,483.5329
102.84842,25.369978,175.48445
77.96221,4.331234,25.987404
68.94488,44.387238,196.6023
69.11027,12.857725,81.32511
57.663086,5.7663083,39.723457
98.59224,29.282738,96.06424
81.83687,12.941645,60.140583
57.04611,17.51183,96.84572
52.302353,8.1359215,40.09847
77.99057,85.95357,488.67062
115.64298,8.605989,40.340576
54.9805,6.1089444,44.59529
85.65509,1.9034466,23.793081
77.18339,12.564737,69.28555
64.75034,2.877793,31.655724
91.84809,9.398409,49.98245
55.802547,33.38614,236.92235
98.35603,6.8620486,47.1194
139.66219,3.247958,27.282846
152.12827,48.01278,416.91348
86.177055,31.856047,107.90546
93.18804,41.968002,246.56203
68.343185,32.71127,139.02289
85.11338,23.608727,217.00864
46.592503,8.800806,41.415558
120.68562,27.483463,410.31903
69.69284,11.021193,61.91317
109.73988,17.521032,319.6078
101.44254,20.55847,207.03831
53.276882,37.281857,75.69889
49.264217,11.494984,44.337795
21.612947,12.171512,21.079569
78.85123,5.2567487,31.540493
62.923603,6.7313623,63.80161
112.139854,11.741138,95.606415
88.00349,9.778165,102.67073
101.52903,19.741756,109.12202
71.94386,19.07349,58.89358
37.861134,24.820076,54.6883
112.87764,96.82406,503.4125
94.27428,22.193535,193.9522
44.53145,12.864641,54.92212
89.57412,18.79498,285.9587
56.463436,5.018972,52.699207
58.777744,4.5716023,33.30739
93.30239,9.113256,48.604034
88.14014,43.6641,242.22751
109.234474,23.18089,308.8416
64.705574,6.3200793,82.16103
43.87087,6.8243575,38.02142
55.73203,17.626873,94.35562
51.28144,3.4187627,50.711647
71.79068,4.7860456,34.29999
98.35387,5.0320582,44.373604
64.16145,7.12905,30.654915
75.259834,23.478495,143.76558
64.5878,20.12736,80.50944
86.571106,32.371674,87.12605
126.472336,131.3523,548.1823
53.81745,8.969575,34.084385
101.71504,75.29882,382.5824
81.06207,41.070343,198.963
87.42775,8.946095,70.34884
100.937195,6.5726547,50.703335
82.852425,7.3218417,60.886894
60.606594,6.0606594,37.71077
70.46465,10.815505,72.10336
82.678635,29.280254,215.5399
62.155754,3.4530973,31.077877
105.18167,10.787864,103.83318
44.258766,15.492833,376.58456
82.90733,6.941079,52.058094
81.06957,4.5038652,28.824738
85.16062,5.149247,50.304184
71.90196,38.40917,155.48032
67.89183,15.812413,139.99063
70.75258,7.0752583,30.659452
79.881874,19.95003,191.89638
55.147007,10.416657,39.828396
98.5609,82.03542,454.27795
55.17975,49.870743,411.50424
99.06896,368.9492,408.19446
119.10363,5.8533835,76.34848
53.33687,16.125101,92.03711
91.05219,12.704957,45.737846
94.62792,3.032946,109.38826
63.8372,1.484586,87.88749
62.66646,5.5703516,29.940641
72.12112,14.177656,144.85866
74.38049,5.7851496,29.7522
71.74015,17.168583,173.67862
76.61844,28.15355,196.60432
99.08822,3.6870036,53.46155
98.46407,7.327559,64.11614
53.14941,7.677137,34.251842
129.21948,1.2020416,46.278606
72.17339,12.645765,132.78053
72.30834,5.623982,31.333614
119.40856,9.41091,167.19643
96.07949,15.820898,357.3888
111.36757,15.2297535,71.62743
79.92327,2.664109,23.088943
102.89404,18.956938,188.30557
103.59833,22.062368,498.05606
106.05811,4.9329357,59.19523
67.58522,6.007575,30.037876
72.27836,12.438601,56.47797
71.30345,9.286031,80.58948
55.909336,9.939438,45.348682
73.42899,14.002738,62.841557
58.34531,3.8896873,35.007187
90.331,71.607925,647.8004
88.198235,746.3146,649.30304
74.02576,12.050705,62.663662
50.78681,10.157362,42.322342
101.87922,18.068323,100.573074
77.73291,15.945211,100.98634
91.69024,10.579643,106.77603
102.47441,13.356708,99.6279
83.30761,3.8747725,51.147
56.03692,7.471589,49.18796
87.77865,8.165456,51.44237
121.14447,142.53877,531.38165
134.64314,82.017136,548.73364
88.74473,15.8051,220.90807
56.73658,8.82569,39.715603
108.19671,35.307434,461.59598
108.46027,6.242708,333.4692
52.840797,8.21968,32.2916
80.12043,11.983825,131.30849
57.00197,18.293655,109.76193
112.26383,3.132944,36.551014
51.005,5.6672225,40.237278
100.898834,15.284573,232.3668
85.17513,50.388893,332.0466
86.4401,7.6388927,65.13161
67.145485,9.0388155,120.23059
73.0312,14.945919,43.139355
58.9538,8.774519,85.00316
64.8432,5.9578156,183.72241
56.769413,6.3077126,35.95396
112.04031,9.9012375,38.041595
85.97853,175.8988,504.75403
59.902966,6.6558847,33.945015
79.33617,34.36004,450.6836
73.143036,4.8762026,27.631815
82.9359,10.415206,82.9359
46.478054,8.262765,46.478054
61.66258,13.766529,91.49006
90.69237,9.2801485,40.07337
67.44025,5.2453527,29.973444
60.053246,9.77611,85.19181
96.4673,6.7302766,58.777752
58.620007,15.541118,80.4321
88.654076,568.93274,274.48718
56.730507,7.564068,29.62593
93.52539,11.590754,101.319176
47.502193,4.7502193,51.72461
67.06055,1.5595477,72.0511
99.5178,5.554482,53.23045
47.018265,7.3139524,53.28737
82.8468,3.0826716,49.322746
99.50297,7.0162354,100.991264
115.23209,7.632895,95.28808
54.26333,5.426333,45.21944
51.752483,5.750276,52.90254
57.772526,5.1353354,37.231182
68.897156,11.215816,55.438175
53.643196,2.3841422,28.609705
81.39044,34.25894,360.87985
86.63899,36.59825,329.6878
128.92651,6.6116157,72.1768
87.15013,11.755134,59.58637
101.0085,17.4723,210.90822
93.16453,8.582198,258.61023
91.297195,6.7942095,60.29861
69.25287,12.884254,60.555996
72.19554,6.715864,67.49444
77.51517,11.176605,71.38606
112.11721,18.016788,212.98828
113.78157,4.2337327,48.15871
73.60214,10.612402,65.043755
67.04708,13.999595,271.27646
97.333275,18.925915,121.87457
105.399216,9.314349,40.198772
129.7881,18.30345,115.921844
118.70291,135.93205,358.54456
57.525524,3.1958625,43.46373
58.762535,5.2233367,37.216274
56.58277,21.31723,111.84966
100.91239,15.286627,247.78795
111.80397,18.395098,102.24807
97.59272,31.905312,134.29425
59.351566,9.891928,40.227173
81.31307,1.5128013,62.403053
133.67322,14.913389,150.63892
91.65301,67.28706,412.3852
74.99212,28.170017,296.51437
87.218735,2.0283427,59.633274
92.69107,36.241543,160.52538
102.40817,9.846939,81.18254
96.98632,5.864289,35.636833
94.291664,2.1928294,55.2593
48.891792,8.148632,35.85398
84.9351,1.8874465,27.367975
53.9427,6.5929966,44.352886
60.3868,7.380609,36.903046
117.96495,8.318041,93.514946
71.067314,12.89128,71.72841
68.12912,9.506389,83.33934
69.34241,4.1927967,79.01809
63.125645,10.569875,101.58824
52.736584,10.302031,97.13343
69.397835,41.47198,418.1237
48.402172,11.29384,36.57053
121.39866,26.90408,517.0328
59.90503,7.244329,88.04646
59.40095,10.222489,81.50363
58.56947,5.206175,42.30017
87.33417,17.877716,353.7952
46.48863,7.7481046,50.104412
110.36901,157.67781,470.35815
76.19708,41.354828,146.85849
44.210697,7.859679,60.912514
92.26713,26.065228,257.44135
66.091736,5.140468,34.514572
115.8342,12.375448,92.32085
27.757982,41.636974,312.69247
120.766815,18.314487,311.76938
70.60971,5.4918666,30.597544
93.142075,6.0650654,54.585587
76.09459,5.072973,32.128826
81.88025,100.09599,385.98245
88.913605,6.2032747,54.175266
47.994747,5.3327494,36.262695
116.88224,49.724678,394.69693
