turn,qucb_mean,ucb_mean,thomp_mean
0,0.15829316,0.15829316,0.17348452
1250,52.09507,22.243519,6.40315
2500,62.645878,30.198502,7.8702126
3750,65.661415,35.67494,8.744402
5000,70.36625,39.995564,9.377085
6250,71.41593,43.648052,9.896238
7500,71.77497,46.645138,10.323308
8750,73.271706,49.285065,10.698683
10000,74.74653,51.636158,11.022158
11250,75.158325,53.730503,11.311589
12500,75.42424,55.698444,11.578655
13750,75.50205,57.72292,11.836051
15000,75.57987,59.489212,12.071321
16250,75.65769,61.29839,12.306392
17500,76.942604,62.878216,12.512864
18750,77.422195,64.39062,12.713937
20000,77.844406,65.8743,12.90128
21250,78.05954,67.233574,13.085563
22500,78.1886,68.524506,13.264389
23750,78.31767,69.74705,13.428469
25000,78.39453,71.010124,13.586739
26250,78.40275,72.08286,13.745241
27500,78.41096,73.0787,13.888341
28750,78.41918,74.16315,14.02683
30000,78.4274,75.24792,14.1525135
31250,78.43561,76.22579,14.275884
32500,78.443825,77.16788,14.394823
33750,79.28323,78.142975,14.510467
35000,79.82819,79.01154,14.620293
36250,80.03082,79.79704,14.733443
37500,80.13296,80.563705,14.843875
38750,80.16857,81.39987,14.945614
40000,80.20418,82.254906,15.0404415
41250,80.235954,83.09819,15.1239
42500,80.25984,83.85903,15.21024
43750,80.28374,84.64031,15.292462
45000,80.307625,85.306984,15.383518
46250,80.33151,86.0079,15.46266
47500,80.35541,86.64813,15.5410795
48750,80.379295,87.271935,15.617789
50000,80.3884,87.83428,15.694134
51250,80.39323,88.49444,15.767894
52500,80.398056,89.09742,15.838431
53750,80.402885,89.68295,15.909257
55000,80.40771,90.35284,15.980042
56250,80.41254,90.903336,16.052273
57500,80.417366,91.41308,16.118029
58750,80.422195,91.937004,16.183105
60000,80.427025,92.53,16.249771
61250,80.431854,93.25583,16.314661
62500,80.436676,93.867256,16.377615
63750,80.441505,94.41325,16.443417
65000,80.446335,94.87249,16.503183
66250,80.67564,95.35555,16.561481
67500,80.76106,95.889114,16.619724
68750,80.800644,96.340164,16.677605
70000,80.83282,96.77715,16.73593
71250,80.8534,97.32588,16.792711
72500,80.873985,97.78788,16.844343
73750,80.89222,98.32925,16.900217
75000,80.89243,98.831726,16.958555
76250,80.89263,99.29457,17.016302
77500,80.89284,99.724915,17.067339
78750,80.89304,100.0844,17.115654
80000,80.89325,100.51529,17.170568
81250,80.89346,100.920135,17.221786
82500,80.89558,101.35153,17.272015
83750,80.89917,101.74275,17.322702
85000,80.90276,102.19555,17.368206
86250,80.90636,102.63115,17.41992
87500,80.90995,102.940445,17.470135
88750,80.91354,103.2362,17.515818
90000,80.91714,103.56744,17.564457
91250,80.92073,103.905045,17.611183
92500,80.92433,104.28983,17.656364
93750,80.927925,104.64638,17.704865
95000,80.931526,105.016266,17.751467
96250,80.93512,105.31831,17.796019
97500,80.93871,105.65096,17.843683
98750,80.94112,106.03241,17.884384
100000,80.94214,106.35757,17.927803
101250,80.94315,106.655525,17.975004
102500,80.94417,106.97461,18.020786
103750,80.94519,107.33459,18.062584
105000,80.946205,107.69183,18.104279
106250,80.94723,108.08699,18.147707
107500,80.94824,108.4529,18.191553
108750,80.94926,108.76915,18.232761
110000,80.95027,109.08047,18.275635
111250,80.95129,109.33137,18.315561
112500,80.95232,109.64349,18.359354
113750,80.95333,109.96172,18.401434
115000,80.954346,110.24741,18.445957
116250,80.95536,110.551125,18.48424
117500,80.956375,110.83514,18.523155
118750,80.9574,111.165115,18.560457
120000,80.95841,111.44335,18.59606
121250,80.95943,111.80368,18.631945
122500,80.96044,112.138405,18.669716
123750,80.961464,112.412735,18.702913
125000,80.96249,112.69125,18.738483
126250,80.9635,113.04537,18.772871
127500,80.964516,113.35139,18.809233
128750,80.96553,113.65311,18.848225
130000,80.966545,114.008446,18.88431
131250,81.03038,114.35855,18.920961
132500,81.061714,114.5806,18.957748
133750,81.111084,114.80419,18.992723
135000,81.143326,115.049576,19.029543
136250,81.19072,115.30079,19.063452
137500,81.23868,115.54582,19.09835
138750,81.28665,115.80228,19.134308
140000,81.31327,116.03646,19.171942
141250,81.33025,116.3313,19.210608
142500,81.34723,116.58511,19.247421
143750,81.36421,116.88001,19.284163
145000,81.38119,117.1438,19.31759
146250,81.39816,117.359634,19.35044
147500,81.412834,117.6542,19.386023
148750,81.41304,117.86345,19.420954
150000,81.41325,118.08664,19.455873
151250,81.41345,118.27797,19.490911
152500,81.41366,118.5158,19.525827
153750,81.413864,118.718575,19.559805
155000,81.41407,118.89053,19.592607
156250,81.41428,119.10586,19.62537
157500,81.41448,119.297455,19.663006
158750,81.41469,119.51806,19.695
160000,81.4149,119.7227,19.731907
161250,81.4151,119.92098,19.76454
162500,81.41531,120.25194,19.798065
163750,81.41558,120.5096,19.829912
165000,81.41772,120.77263,19.86488
166250,81.41987,120.98736,19.89641
167500,81.422005,121.18518,19.92896
168750,81.42415,121.3478,19.95981
170000,81.4263,121.629875,19.992315
171250,81.42844,121.84274,20.025488
172500,81.43059,122.076164,20.05786
173750,81.432724,122.302704,20.0886
175000,81.43487,122.52427,20.119555
176250,81.43702,122.78904,20.150745
177500,81.439156,122.981514,20.182833
178750,81.4413,123.15886,20.213747
180000,81.44344,123.332245,20.245075
181250,81.44559,123.53732,20.278728
182500,81.44772,123.7448,20.31024
183750,81.449875,123.94502,20.341707
185000,81.45202,124.18426,20.37762
186250,81.454155,124.3867,20.407692
187500,81.45631,124.56918,20.438133
188750,81.45844,124.817955,20.468239
190000,81.46059,125.01746,20.500063
191250,81.46274,125.22588,20.530497
192500,81.464874,125.47586,20.560059
193750,81.46702,125.66659,20.58765
195000,81.46916,125.860115,20.618168
196250,81.471306,126.10337,20.64779
197500,81.47169,126.323616,20.677452
198750,81.47169,126.541885,20.705223
200000,81.47169,126.73345,20.733185
201250,81.47169,126.921974,20.760153
202500,81.47169,127.15477,20.784092
203750,81.47169,127.33032,20.808556
205000,81.47169,127.54212,20.83297
206250,81.47169,127.75127,20.856913
207500,81.47169,127.98419,20.880043
208750,81.47169,128.12582,20.902185
210000,81.47169,128.33818,20.921314
211250,81.47169,128.48251,20.939444
212500,81.47169,128.67511,20.959084
213750,81.47169,128.8163,20.979021
215000,81.47169,129.01282,21.001175
216250,81.47169,129.2016,21.01928
217500,81.47169,129.41614,21.038391
218750,81.47169,129.60023,21.056208
220000,81.47169,129.78973,21.074448
221250,81.47169,129.92743,21.09234
222500,81.47169,130.10847,21.110342
223750,81.47169,130.35152,21.129654
225000,81.47169,130.56834,21.14904
226250,81.47169,130.77322,21.169245
227500,81.47169,130.94661,21.186747
228750,81.47169,131.11758,21.20862
230000,81.47169,131.24287,21.227266
231250,81.47169,131.45044,21.246365
232500,81.47169,131.61281,21.264334
233750,81.47169,131.75735,21.282478
235000,81.47169,131.85599,21.302874
236250,81.47169,132.05376,21.3187
237500,81.47169,132.17935,21.33545
238750,81.47169,132.33833,21.352188
240000,81.47169,132.50027,21.374495
241250,81.47169,132.65247,21.388027
242500,81.47169,132.82031,21.40559
243750,81.47169,133.00635,21.421238
245000,81.47169,133.20209,21.43936
246250,81.47169,133.34196,21.455353
247500,81.47169,133.50838,21.471466
248750,81.47169,133.6265,21.48649
