turn,qucb_mean,ucb_mean,thomp_mean
1,0.31658632,0.33454865,0.30431777
2,0.47487944,0.40478668,0.41017753
3,0.63317263,0.47542378,0.5113232
4,0.79146576,0.59132457,0.59583735
5,0.9497589,0.6737267,0.6670453
6,1.108052,0.8355519,0.73921186
7,1.2663453,0.9204195,0.8066183
8,1.4246383,0.97096324,0.8641273
9,1.5829315,1.0480288,0.91335696
10,1.7412248,1.1411045,0.96361524
11,1.8995178,1.1980937,1.0089419
12,2.057811,1.2518091,1.0531161
13,2.216104,1.3585205,1.0979705
14,2.3743973,1.429531,1.1429346
15,2.5326905,1.5697736,1.1835881
16,2.6909835,1.6177119,1.2286124
17,2.8492765,1.6817011,1.2701668
18,3.0075698,1.7392551,1.3066564
19,3.165863,1.7911928,1.3446445
20,3.3241563,1.8416682,1.3820133
21,3.4824495,1.9160813,1.4186043
22,3.6407425,1.9833717,1.4529463
23,3.7990355,2.0290778,1.4834462
24,3.9573288,2.0939302,1.5147054
25,4.115622,2.1736305,1.5443257
26,4.273915,2.2354522,1.5708148
27,4.432208,2.2880948,1.5955058
28,4.5905013,2.3596807,1.6230465
29,4.766757,2.4090054,1.6475655
30,4.943012,2.4868467,1.672819
31,5.119268,2.5414138,1.6988876
32,5.2955236,2.5880523,1.7212154
33,5.471779,2.6438482,1.7449385
34,5.6480346,2.686666,1.773057
35,5.8242903,2.7483525,1.7999921
36,6.0005455,2.8086143,1.8203241
37,6.1768007,2.858125,1.8447835
38,6.3530564,2.9052627,1.8658986
39,6.529312,2.9514735,1.8869799
40,6.7055674,3.0065744,1.9077272
41,6.8818226,3.0609076,1.9269915
42,7.058079,3.1196568,1.9465203
43,7.234334,3.171385,1.9628059
44,7.410589,3.2186117,1.9829253
45,7.5868454,3.2634282,2.0008054
46,7.7631006,3.326061,2.0166295
47,7.939356,3.3730326,2.0332668
48,8.115611,3.421078,2.0518177
49,8.291867,3.4696634,2.0685544
50,8.4681225,3.510169,2.0849228
51,8.644378,3.555241,2.1037626
52,8.820634,3.5959685,2.1209645
53,8.996889,3.6493912,2.1372073
54,9.173144,3.7039638,2.1527934
55,9.3494005,3.7517831,2.1683996
56,9.525656,3.7936277,2.181834
57,9.701911,3.8336823,2.201616
58,9.716928,3.8725994,2.2184987
59,9.731943,3.9162982,2.2332237
60,9.74696,3.9732215,2.247309
61,9.761976,4.017295,2.2613163
62,9.776993,4.056521,2.2770808
63,9.792009,4.097425,2.2920818
64,9.807025,4.1354504,2.3071554
65,9.822042,4.1837687,2.3223202
66,9.837059,4.2312984,2.3354597
67,9.852076,4.2793264,2.352146
68,9.867091,4.3239374,2.367191
69,9.882108,4.370381,2.3820522
74,9.95719,4.56896,2.4491882
79,10.032271,4.763345,2.5218568
84,10.107352,4.955413,2.5911784
89,10.182435,5.150356,2.653019
95,10.272533,5.360542,2.7214808
101,10.362631,5.568274,2.7825692
108,10.467745,5.8053246,2.8531752
115,10.572861,6.033257,2.9139726
122,11.254302,6.2668414,2.9767776
130,12.527087,6.51588,3.043116
138,13.799872,6.7671294,3.1089616
147,15.231756,7.033727,3.1715775
157,16.822737,7.3340154,3.2422996
167,18.41372,7.616879,3.3169413
178,20.1638,7.910459,3.3984694
189,20.349869,8.199588,3.4710412
202,20.384933,8.513022,3.5587063
215,20.419998,8.838349,3.6362293
229,20.45776,9.1483965,3.7173045
243,20.495522,9.445972,3.7949636
259,22.19897,9.796966,3.8833332
276,24.008884,10.138837,3.9643354
294,25.925264,10.499475,4.0474687
312,27.427233,10.847336,4.1303496
333,28.575178,11.245491,4.2178316
354,29.723124,11.638941,4.3023415
377,30.980396,12.038988,4.400416
401,32.292336,12.437183,4.493726
427,33.7136,12.860836,4.580152
455,33.850708,13.3218975,4.672133
484,33.88169,13.75452,4.7603083
515,34.7151,14.220662,4.8567896
549,36.18351,14.72414,4.954507
584,37.955746,15.215641,5.056474
622,39.96373,15.703817,5.156078
662,42.077404,16.209232,5.25982
704,43.45496,16.703014,5.369891
750,44.12556,17.25097,5.4742403
798,44.82532,17.791452,5.5846972
850,45.583393,18.358593,5.7035356
905,46.3852,18.905352,5.81794
963,46.835,19.492334,5.9270234
1025,47.039272,20.137075,6.038808
1091,48.13681,20.795732,6.143523
1161,50.144547,21.416716,6.2580442
1236,51.83641,22.117292,6.3814583
1316,53.314465,22.784098,6.5034623
1401,54.884903,23.504698,6.632181
1491,55.85308,24.168293,6.759778
1587,56.20792,24.867285,6.8836308
1690,56.58864,25.593132,7.0216403
1799,56.991528,26.252325,7.152904
1914,57.4166,26.968252,7.283358
2038,57.63471,27.661282,7.423049
2169,59.321266,28.422451,7.5602217
2309,61.00197,29.165785,7.6993833
2458,62.420773,29.976824,7.834489
2616,63.171024,30.74734,7.962492
2785,63.9361,31.536657,8.094236
2965,64.750984,32.395775,8.231597
3156,64.9957,33.293804,8.360074
3359,65.223206,34.145782,8.49163
3576,65.46641,34.993042,8.637063
3806,65.724174,35.866978,8.779017
4051,65.94073,36.77574,8.920795
4313,67.40777,37.720306,9.055328
4591,68.99202,38.68095,9.19166
4887,69.98657,39.6204,9.328447
5201,70.59507,40.659767,9.468223
5537,70.89965,41.66516,9.613644
5894,71.22326,42.614906,9.761286
6273,71.42253,43.71147,9.904536
6678,71.53886,44.76678,10.050693
7108,71.66238,45.763557,10.197196
7566,71.79393,46.783115,10.345834
8054,71.934105,47.94138,10.492413
8573,72.925766,48.93281,10.646682
9126,73.98516,50.02439,10.802261
9714,74.49739,51.08503,10.953475
10340,74.91724,52.182728,11.102077
11007,75.09395,53.353264,11.254582
11716,75.28179,54.48027,11.414363
12471,75.42243,55.655804,11.572712
13275,75.47248,56.950207,11.739069
14131,75.52577,58.236217,11.909675
15041,75.58243,59.543163,12.079182
16011,75.642815,60.95971,12.262331
17043,76.70012,62.315144,12.437097
18141,77.20386,63.664986,12.617028
19310,77.61134,65.082,12.798713
20555,77.98777,66.4692,12.988705
21880,78.12459,67.86252,13.176189
23290,78.27017,69.27882,13.370295
24791,78.39316,70.79412,13.561121
26389,78.40366,72.18466,13.761427
28090,78.41484,73.57055,13.957048
29900,78.42674,75.15151,14.142285
31827,78.43941,76.67508,14.331024
33878,79.34996,78.22584,14.521433
36062,80.00034,79.67001,14.718326
38386,80.1582,81.16398,14.914462
40860,80.2285,82.821175,15.098805
43494,80.27885,84.50942,15.27697
