n,p
0,0.996
1,0.988
2,0.989
3,0.992
4,0.982
5,0.974
6,0.98
7,0.975
8,0.968
9,0.965
10,0.963
11,0.948
12,0.945
13,0.948
14,0.937
15,0.926
16,0.927
17,0.908
18,0.921
19,0.935
20,0.92
21,0.9
22,0.897
23,0.892
24,0.884
25,0.882
26,0.885
27,0.881
28,0.876
29,0.869
30,0.861
31,0.834
32,0.858
33,0.864
34,0.825
35,0.827
36,0.816
37,0.785
38,0.824
39,0.822
40,0.77
41,0.801
42,0.782
43,0.763
44,0.751
45,0.749
46,0.782
47,0.75
48,0.76
49,0.757
50,0.744
51,0.728
52,0.742
53,0.693
54,0.725
55,0.705
56,0.655
57,0.702
58,0.691
59,0.692
60,0.637
61,0.683
62,0.651
63,0.648
64,0.657
65,0.627
66,0.614
67,0.601
68,0.617
69,0.615
70,0.576
71,0.626
72,0.599
73,0.57
74,0.585
75,0.572
76,0.559
77,0.564
78,0.552
79,0.545
80,0.557
81,0.535
82,0.496
83,0.535
84,0.559
85,0.516
86,0.528
87,0.521
88,0.535
89,0.511
90,0.478
91,0.497
92,0.498
93,0.496
94,0.487
95,0.492
96,0.454
97,0.455
98,0.45
99,0.468
100,0.446
101,0.446
102,0.441
103,0.405
104,0.423
105,0.416
106,0.42
107,0.456
108,0.406
109,0.413
110,0.408
111,0.411
112,0.393
113,0.378
114,0.389
115,0.378
116,0.398
117,0.36
118,0.363
119,0.388
120,0.374
121,0.375
122,0.363
123,0.355
124,0.371
125,0.364
126,0.343
127,0.355
128,0.377
129,0.328
130,0.353
131,0.359
132,0.327
133,0.353
134,0.344
135,0.342
136,0.367
137,0.328
138,0.336
139,0.336
140,0.325
141,0.326
142,0.359
143,0.303
144,0.319
145,0.307
146,0.316
147,0.327
148,0.312
149,0.318
150,0.305
151,0.326
152,0.341
153,0.335
154,0.316
155,0.318
156,0.309
157,0.311
158,0.317
159,0.327
160,0.341
161,0.311
162,0.314
163,0.328
164,0.338
165,0.333
166,0.33
167,0.3
168,0.325
169,0.311
170,0.282
171,0.329
172,0.332
173,0.341
174,0.337
175,0.335
176,0.321
177,0.326
178,0.326
179,0.332
180,0.332
181,0.333
182,0.342
183,0.345
184,0.355
185,0.332
186,0.328
187,0.319
188,0.328
189,0.338
190,0.351
191,0.351
192,0.348
193,0.346
194,0.338
195,0.345
196,0.329
197,0.374
198,0.38
199,0.371
200,0.37
201,0.343
202,0.388
203,0.379
204,0.371
205,0.384
206,0.372
207,0.364
208,0.354
209,0.399
210,0.382
211,0.391
212,0.387
213,0.389
214,0.412
215,0.418
216,0.39
217,0.369
218,0.392
219,0.411
220,0.407
221,0.425
222,0.413
223,0.42
224,0.412
225,0.403
226,0.426
227,0.397
228,0.394
229,0.422
230,0.434
231,0.412
232,0.41
233,0.432
234,0.441
235,0.427
236,0.446
237,0.448
238,0.46
239,0.467
240,0.431
241,0.428
242,0.449
243,0.453
244,0.446
245,0.445
246,0.494
247,0.463
248,0.457
249,0.442
250,0.432
251,0.469
252,0.454
253,0.46
254,0.493
255,0.488
256,0.472
257,0.474
258,0.468
259,0.44
260,0.476
261,0.481
262,0.476
263,0.483
264,0.497
265,0.497
266,0.505
267,0.49
268,0.478
269,0.483
270,0.511
271,0.508
272,0.505
273,0.503
274,0.51
275,0.524
276,0.491
277,0.511
278,0.529
279,0.535
280,0.54
281,0.531
282,0.509
283,0.476
284,0.545
285,0.519
286,0.547
287,0.535
288,0.536
289,0.537
290,0.533
291,0.517
